Activity ID,Activity Name,Actual This Period Cost,Actual Total Cost
478,Passivazione Ferri Pila 59,0.0,0.0
488,Inghisaggi Feri Baggioli Pila 59,0.0,0.0
498,Montaggio Ferri Pulvino e Baggiolo Pila 59,0.0,0.0
508,Strati di Malta Pulvini e Baggioli Pila 59,0.0,0.0
518,Smontaggio Ponteggi Pila 59,0.0,0.0
528,Montaggio Ponteggi Pila 60,0.0,0.0
538,Passivazione Ferri Pila 60,0.0,0.0
548,Inghisaggi Feri Baggioli Pila 60,0.0,0.0
558,Montaggio Ferri Pulvino e Baggiolo Pila 60,0.0,0.0
568,Smontaggio Ponteggi Pila 60,0.0,0.0
578,Montaggio Ponteggi Pila 61,0.0,0.0
588,Bocciardatura Pulvino 61,0.0,0.0
598,Passivazione Ferri Pila 61,0.0,0.0
608,Inghisaggi Feri Baggioli Pila 61,0.0,0.0
618,Montaggio Ferri Pulvino e Baggiolo Pila 61,0.0,0.0
628,Strati di Malta Pulvini e Baggioli Pila 61,0.0,0.0
638,Smontaggio Ponteggi Pila 61,0.0,0.0
648,Montaggio Ponteggi Pila 62,0.0,0.0
658,Bocciardatura Pulvino 62,0.0,0.0
668,Passivazione Ferri Pila 62,0.0,0.0
678,Inghisaggi Feri Baggioli Pila 62,0.0,0.0
688,Montaggio Ferri Pulvino e Baggiolo Pila 62,0.0,0.0
698,Strati di Malta Pulvini e Baggioli Pila 62,0.0,0.0
708,Smontaggio Ponteggi Pila 62,0.0,0.0
718,Montaggio Ponteggi Pila 63,0.0,0.0
728,Bocciardatura Pulvino 63,0.0,0.0
738,Passivazione Ferri Pila 63,0.0,0.0
748,Inghisaggi Feri Baggioli Pila 63,0.0,0.0
758,Montaggio Ferri Pulvino e Baggiolo Pila 63,0.0,0.0
768,Strati di Malta Pulvini e Baggioli Pila 63,0.0,0.0
778,Montaggio Ponteggi Pila 64,0.0,0.0
788,Bocciardatura Pulvino 64,0.0,0.0
798,Inghisaggi Feri Baggioli Pila 64,0.0,0.0
808,Montaggio Ferri Pulvino e Baggiolo Pila 64,0.0,0.0
818,Strati di Malta Pulvini e Baggioli Pila 64,0.0,0.0
828,Smontaggio Ponteggi Pila 64,0.0,0.0
838,Montaggio Ponteggi Pila 65,0.0,0.0
848,Bocciardatura Pulvino 65,0.0,0.0
858,Passivazione Ferri Pila 65,0.0,0.0
868,Inghisaggi Feri Baggioli Pila 65,0.0,0.0
878,Montaggio Ferri Pulvino e Baggiolo Pila 65,0.0,0.0
888,Strati di Malta Pulvini e Baggioli Pila 65,0.0,0.0
898,Smontaggio Ponteggi Pila 65,0.0,0.0
908,Montaggio Ponteggi Pila 66,0.0,0.0
918,Bocciardatura Pulvino 66,0.0,0.0
928,Passivazione Ferri Pila 66,0.0,0.0
938,Inghisaggi Feri Baggioli Pila 66,0.0,0.0
948,Montaggio Ferri Pulvino e Baggiolo Pila 66,0.0,0.0
958,Strati di Malta Pulvini e Baggioli Pila 66,0.0,0.0
968,Smontaggio Ponteggi Pila 66,0.0,0.0
978,Montaggio Ponteggi Pila 67,0.0,0.0
988,Bocciardatura Pulvino 67,0.0,0.0
998,Passivazione Ferri Pila 67,0.0,0.0
N/A,MAPPING MANCANTE,1702658.16,24971074.92
1008,Inghisaggi Feri Baggioli Pila 67,0.0,0.0
1018,Montaggio Ferri Pulvino e Baggiolo Pila 67,0.0,0.0
1028,Strati di Malta Pulvini e Baggioli Pila 67,0.0,0.0
